City_Name,State,PLACES_Pct_Any_Disability,PLACES_Pct_Arthritis,PLACES_Pct_BP_Medication,PLACES_Pct_Binge_Drinking,PLACES_Pct_COPD,PLACES_Pct_Cancer_NonSkin,PLACES_Pct_Cholesterol_Screening,PLACES_Pct_Cognitive_Disability,PLACES_Pct_Colorectal_Screening,PLACES_Pct_Coronary_Heart_Disease,PLACES_Pct_Current_Asthma,PLACES_Pct_Current_Smoking,PLACES_Pct_Dental_Visit,PLACES_Pct_Depression,PLACES_Pct_Diabetes,PLACES_Pct_Fair_Poor_Health,PLACES_Pct_Food_Insecurity,PLACES_Pct_Food_Stamps,PLACES_Pct_Frequent_Mental_Distress,PLACES_Pct_Frequent_Physical_Distress,PLACES_Pct_Hearing_Disability,PLACES_Pct_High_Blood_Pressure,PLACES_Pct_High_Cholesterol,PLACES_Pct_Housing_Insecurity,PLACES_Pct_Independent_Living_Disability,PLACES_Pct_Lack_Social_Support,PLACES_Pct_Loneliness,PLACES_Pct_Mammography,PLACES_Pct_Mobility_Disability,PLACES_Pct_Obesity,PLACES_Pct_Physical_Inactivity,PLACES_Pct_Routine_Checkup,PLACES_Pct_Self_Care_Disability,PLACES_Pct_Short_Sleep,PLACES_Pct_Stroke,PLACES_Pct_Teeth_Lost_65Plus,PLACES_Pct_Transportation_Barrier,PLACES_Pct_Uninsured_18_64,PLACES_Pct_Utility_Shutoff_Threat,PLACES_Pct_Vision_Disability
Glasgow,Delaware,25.3,21.6,56.7,16.6,4.6,6.9,87.2,12.3,63.4,4.6,10.4,10.5,66.5,21.1,9.7,14.7,12.2,9.5,15.7,10.7,4.6,30.8,33.5,11.5,6.5,22.8,32.7,79.4,10.5,31.7,22.3,78.0,2.7,36.1,2.7,8.4,7.3,7.4,7.2,3.7
Greenville,Delaware,20.7,20.2,54.5,18.1,3.8,8.0,88.2,9.6,63.6,4.3,9.1,7.4,74.1,20.9,7.8,10.9,6.7,4.7,13.2,8.9,4.6,27.0,34.1,6.3,4.8,17.8,28.6,77.4,7.9,26.6,16.8,77.3,1.9,29.9,2.1,5.8,4.6,4.9,4.1,2.6
Greenwood,Delaware,32.7,25.2,60.3,16.2,7.8,6.8,83.0,16.9,55.6,6.0,11.8,18.6,56.9,23.6,10.9,22.1,19.7,16.6,18.7,14.9,6.3,34.5,37.5,15.3,9.9,24.7,35.4,75.2,14.4,36.1,30.3,77.6,4.2,36.8,3.4,15.8,10.0,13.5,9.7,5.7
Harrington,Delaware,33.2,25.9,59.6,14.5,6.7,7.2,85.2,15.5,60.5,5.3,13.0,14.1,60.8,24.6,11.7,19.7,15.5,14.1,19.2,13.9,5.7,34.9,34.3,14.4,8.8,23.0,35.9,73.2,14.3,43.3,29.8,80.4,3.7,41.2,3.2,12.5,8.8,9.4,8.9,5.0
Hartly,Delaware,35.0,24.2,50.4,13.9,7.7,6.6,74.5,17.6,45.7,5.2,12.4,15.9,51.2,25.0,10.5,21.3,16.7,14.5,19.9,14.8,6.0,30.4,31.3,14.1,9.9,22.5,35.2,51.2,14.9,38.7,30.9,70.8,3.8,37.8,3.1,13.8,9.2,12.5,8.0,5.4
Henlopen Acres,Delaware,18.2,20.1,58.2,18.4,3.4,7.9,89.1,8.4,68.4,4.1,9.2,7.3,77.8,20.1,6.8,9.5,5.4,3.5,12.3,8.5,4.7,26.7,36.6,5.2,4.2,16.1,27.8,81.2,6.7,26.2,15.1,79.8,1.7,27.5,1.9,3.2,3.7,4.3,3.4,2.3
Highland Acres,Delaware,31.8,25.4,59.5,14.6,6.5,7.3,85.3,14.5,61.6,5.4,12.3,13.3,65.6,23.9,11.5,18.8,14.2,12.9,18.2,13.3,5.9,34.4,34.6,12.8,8.2,21.8,34.5,72.6,13.6,41.8,28.8,80.3,3.4,39.2,3.1,12.0,8.1,8.7,8.1,4.7
Hockessin,Delaware,20.0,19.5,53.7,18.5,3.5,7.7,88.4,9.5,64.7,3.9,9.1,7.4,74.7,20.9,7.4,10.2,6.3,4.1,13.4,8.6,4.3,25.7,33.7,6.1,4.6,18.6,29.5,79.4,7.4,25.6,16.6,77.1,1.7,30.1,2.0,4.5,4.3,4.9,3.7,2.4
Houston,Delaware,36.8,27.1,58.6,15.0,8.3,7.6,82.9,17.7,53.4,6.3,13.0,17.1,55.8,26.6,12.2,22.6,17.4,16.5,20.7,15.7,7.0,35.3,35.3,15.0,10.2,22.5,35.9,70.9,16.0,44.1,32.8,78.8,4.2,40.8,3.4,19.8,9.6,11.4,9.4,5.7
Kent Acres,Delaware,32.9,25.4,60.2,13.8,6.5,6.8,85.4,15.0,59.6,5.5,12.6,13.7,63.3,23.5,12.6,20.1,16.3,14.8,18.5,13.7,5.9,35.6,34.7,14.6,8.7,23.0,35.4,72.8,14.5,43.1,30.5,80.7,3.8,40.5,3.3,14.4,9.0,9.7,9.2,5.2
Kenton,Delaware,34.8,26.8,58.3,15.1,7.6,7.5,83.8,16.8,59.6,5.8,13.2,15.9,62.7,26.8,11.5,20.5,15.2,14.3,20.5,14.8,6.4,34.4,34.7,13.5,9.5,22.3,35.9,71.2,14.8,42.9,30.6,79.2,3.8,39.6,3.3,17.4,8.6,9.6,8.5,5.0
Laurel,Delaware,34.3,26.1,63.6,13.9,8.1,6.3,84.1,17.3,55.1,6.5,12.5,18.9,50.6,22.3,13.1,24.6,25.5,23.7,19.0,15.4,6.3,38.7,37.4,20.0,11.1,25.9,35.7,77.6,16.3,40.3,33.1,80.1,5.2,40.5,4.0,22.9,12.8,13.8,13.9,7.0
Leipsic,Delaware,34.1,25.7,57.4,15.8,7.4,7.9,83.8,16.1,57.6,6.0,12.0,15.4,58.1,25.2,11.1,20.2,14.5,12.6,19.2,14.5,6.8,33.8,35.1,12.9,8.8,21.6,34.6,54.1,14.0,42.3,30.2,78.5,3.5,39.9,3.1,19.1,8.3,11.5,7.7,4.9
