Column,Source,Source Key,Geography Level
BRFSS_Pct_Seeing_Difficulty_CI_High,CDC BRFSS state prevalence (2024),brfss_state,ZCTA (ZIP Code Tabulation Area)
BRFSS_Pct_Cognitive_Difficulty_Sample_Size,CDC BRFSS state prevalence (2024),brfss_state,ZCTA (ZIP Code Tabulation Area)
BRFSS_Pct_Cognitive_Difficulty,CDC BRFSS state prevalence (2024),brfss_state,ZCTA (ZIP Code Tabulation Area)
BRFSS_Pct_Cognitive_Difficulty_CI_Low,CDC BRFSS state prevalence (2024),brfss_state,ZCTA (ZIP Code Tabulation Area)
BRFSS_Pct_Cognitive_Difficulty_CI_High,CDC BRFSS state prevalence (2024),brfss_state,ZCTA (ZIP Code Tabulation Area)
Pct_Poor_Fair_Health,County Health Rankings (CHR),chr_county,ZCTA (ZIP Code Tabulation Area)
Pct_Poor_Fair_Health_LowCI,County Health Rankings (CHR),chr_county,ZCTA (ZIP Code Tabulation Area)
Pct_Poor_Fair_Health_HighCI,County Health Rankings (CHR),chr_county,ZCTA (ZIP Code Tabulation Area)
Pct_Poor_Fair_Health_Quartile,County Health Rankings (CHR),chr_county,ZCTA (ZIP Code Tabulation Area)
Avg_Poor_Physical_Health_Days,County Health Rankings (CHR),chr_county,ZCTA (ZIP Code Tabulation Area)
Avg_Poor_Physical_Health_Days_LowCI,County Health Rankings (CHR),chr_county,ZCTA (ZIP Code Tabulation Area)
Avg_Poor_Physical_Health_Days_HighCI,County Health Rankings (CHR),chr_county,ZCTA (ZIP Code Tabulation Area)
Avg_Poor_Physical_Health_Days_Quartile,County Health Rankings (CHR),chr_county,ZCTA (ZIP Code Tabulation Area)
Avg_Poor_Mental_Health_Days,County Health Rankings (CHR),chr_county,ZCTA (ZIP Code Tabulation Area)
Avg_Poor_Mental_Health_Days_LowCI,County Health Rankings (CHR),chr_county,ZCTA (ZIP Code Tabulation Area)
Avg_Poor_Mental_Health_Days_HighCI,County Health Rankings (CHR),chr_county,ZCTA (ZIP Code Tabulation Area)
Avg_Poor_Mental_Health_Days_Quartile,County Health Rankings (CHR),chr_county,ZCTA (ZIP Code Tabulation Area)
CHR_YPLL_Rate,County Health Rankings (CHR),chr_county,ZCTA (ZIP Code Tabulation Area)
CHR_Premature_Deaths_Count,County Health Rankings (CHR),chr_county,ZCTA (ZIP Code Tabulation Area)
CHR_Pct_Low_Birthweight,County Health Rankings (CHR),chr_county,ZCTA (ZIP Code Tabulation Area)
CHR_Pct_Low_Birthweight_Quartile,County Health Rankings (CHR),chr_county,ZCTA (ZIP Code Tabulation Area)
Pct_Adult_Smoking,County Health Rankings (CHR),chr_county,ZCTA (ZIP Code Tabulation Area)
Pct_Adult_Smoking_LowCI,County Health Rankings (CHR),chr_county,ZCTA (ZIP Code Tabulation Area)
Pct_Adult_Smoking_HighCI,County Health Rankings (CHR),chr_county,ZCTA (ZIP Code Tabulation Area)
Pct_Adult_Smoking_Quartile,County Health Rankings (CHR),chr_county,ZCTA (ZIP Code Tabulation Area)
Pct_Adult_Obesity,County Health Rankings (CHR),chr_county,ZCTA (ZIP Code Tabulation Area)
Pct_Adult_Obesity_LowCI,County Health Rankings (CHR),chr_county,ZCTA (ZIP Code Tabulation Area)
Pct_Adult_Obesity_HighCI,County Health Rankings (CHR),chr_county,ZCTA (ZIP Code Tabulation Area)
Pct_Adult_Obesity_Quartile,County Health Rankings (CHR),chr_county,ZCTA (ZIP Code Tabulation Area)
Pct_Physical_Inactivity,County Health Rankings (CHR),chr_county,ZCTA (ZIP Code Tabulation Area)
Pct_Physical_Inactivity_LowCI,County Health Rankings (CHR),chr_county,ZCTA (ZIP Code Tabulation Area)
Pct_Physical_Inactivity_HighCI,County Health Rankings (CHR),chr_county,ZCTA (ZIP Code Tabulation Area)
Pct_Physical_Inactivity_Quartile,County Health Rankings (CHR),chr_county,ZCTA (ZIP Code Tabulation Area)
Excessive_Drinking_Pct,County Health Rankings (CHR),chr_county,ZCTA (ZIP Code Tabulation Area)
Excessive_Drinking_Pct_LowCI,County Health Rankings (CHR),chr_county,ZCTA (ZIP Code Tabulation Area)
Excessive_Drinking_Pct_HighCI,County Health Rankings (CHR),chr_county,ZCTA (ZIP Code Tabulation Area)
Excessive_Drinking_Pct_Quartile,County Health Rankings (CHR),chr_county,ZCTA (ZIP Code Tabulation Area)
CHR_Food_Environment_Index,County Health Rankings (CHR),chr_county,ZCTA (ZIP Code Tabulation Area)
CHR_Access_Exercise_Opportunities_Pct,County Health Rankings (CHR),chr_county,ZCTA (ZIP Code Tabulation Area)
CHR_Alcohol_Impaired_Driving_Deaths_Pct,County Health Rankings (CHR),chr_county,ZCTA (ZIP Code Tabulation Area)
CHR_STI_Chlamydia_Rate,County Health Rankings (CHR),chr_county,ZCTA (ZIP Code Tabulation Area)
CHR_Teen_Birth_Rate,County Health Rankings (CHR),chr_county,ZCTA (ZIP Code Tabulation Area)
CHR_Uninsured_Pct,County Health Rankings (CHR),chr_county,ZCTA (ZIP Code Tabulation Area)
CHR_Uninsured_Pct_LowCI,County Health Rankings (CHR),chr_county,ZCTA (ZIP Code Tabulation Area)
CHR_Uninsured_Pct_HighCI,County Health Rankings (CHR),chr_county,ZCTA (ZIP Code Tabulation Area)
